Bridge Number According to Zucchetta,Bridge Name,Bridge Code,Canal Width (m),ID,Year Constructed,Date of Last Restoration,Year of Last Restoration,Time of Survey (24:00),Date of Survey,Survey Incomplete?,Private Bridge?,Address,Address Letter,Number of Street Address On Bridge,Street Addresses on Bridge,Canal Crossed,Segment Code,Northern Island Number,Southern Island Number,Northern Sestiere Code,Name of Northern Sestiere,Southern Sestiere Code,Name of Southern Sestiere,Number of Arches,Arch Style Code,Arch Style,Crooked Bridge?,Handicapped Accessible?,Number of Ramps,Construction Material Code,Construction Material,Numerical Condition of Bridge,Qualitative Condition of Bridge,Decorations,Numerical Condition of Decorations,Qualitative Condition of Decorations,Number of Northern Steps,Number of Southern Steps,Total Number of Steps,Height of Step (cm),Code for Material of Step Face,Face Material,Conditions of the Step Face,Description of Step Face Conditions,Step Depth (cm),Step Pavement Material Code,Step Pavement Material,Numerical Condition of Step Pavement Material,Qualitative Condition of Step Pavement Material,Minimum Step Width (m),Step Surface (Min),Total Surface Area of Steps (m^2) ,Material Code of Summit Pavement,Material of Summit Pavement,Numerical Condition of Summit Pavement,Qualitative Condition of Summit Pavement,Full Width Including Railings (m),Net Width of Bridge (m),Width of Summit (m),Length of Summit (m),Surface Area of Summit (m^2),Total Surface Area of Pavement (m^2),Surface Area From Map,Estimated Surface Area,Hypotenuse North (deg),Hypotenuse South (deg),N Cathetus (deg),S Cathetus (deg),Inclination North (deg),Inclination South (deg),Maximum Inclination (deg),Code for railing type,Type of Railing,Code for the material of the rail,Railing Material,Railing condition,Qualitative condition of Railing,Width of Eastern Railing (cm),Width of Western Railing (cm),Average railing width (cm),Average Height of Railing (m),Additional Handrail?,Protrusion North (m),Protrusion South (m),Span (m),Tide Level (m),Water level (cm),Height 1m North (m),Height Center (m),Height 1m South (m),Minimum Height (m),Average Height (m),Ratio of Span to Height,Thickness 2m North Of Center (m),Thickness 1m North Of Center (m),Central Thickness (m),Thickness 1m South of Center (m),Thickness 2m South of Center (m),Minimum Thickness (m),SE-N2,SE-N1,SE-C,SE-S1,SE-S2,H-N2,H-C,H-S2,SI-N2,SI-N1,SI-C,SI-S1,SI-S2,Photo Number of Arch,Photo Number of Ramp,Photo Number of Reference Elevation Point,Reference to CAD Drawings,Latitude,Longitude,Notes,History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Ponte Raspi o Sansoni,RASPI,4.53,301,,,,11:15,07-Mar-00,FALSE,FALSE,,,1,1557,Rio de le Becarie                                           ,BECA1     ,28,29,SP,San Polo            ,SP,San Polo            ,1,1,A tutto Sesto,FALSE,FALSE,2,15,"Mattoni, Intonaco e Pietra d'Istria",1,Cattive,bugne di diamante,2,Medie,5,8,13,13,2,Pietra d'Istria,2,Medie,43,8,Asfalto,1,Cattive,1.4,0.60,7.83,8,Asfalto,1,Cattive,3.97,3.37,3.37,2.44,8.22,16.05,26.80,21.42,2.73,2.37,0,0,0,0,0,1,Piena,15,"Mattoni, Intonaco e Pietra d'Istria",2,Medie,30,30,30.00,0.98,TRUE,0.2,0,4.33,0.41,0,1.86,2.16,1.98,1.86,2.00,2.33,,0.50,0.26,0.41,,0.26,,1.35,1.07,1.27,,2.8,2.82,2.84,1.18,0.85,0.81,0.86,1.19,,,,,45.4388303,12.3326888,,"�to S. Cassiano. It lies between them to the palace Raspi, of which article before, and houses that were owned by the family cittadinesca Sansoni. See Sansoni (Calle, Campiello dei.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Ponte de le Do Spade,2SPADE,4.48,300,,,,11:25,07-Mar-00,FALSE,FALSE,,,0,,Rio de le Becarie                                           ,BECA1     ,28,29,SP,San Polo            ,SP,San Polo            ,1,6,Sesto Ribassato,FALSE,FALSE,2,6,Metallo,1,Cattive,,,,5,4,9,16,6,Metallo,1,Cattive,38,8,Asfalto,1,Cattive,1.97,0.75,6.74,8,Asfalto,2,Medie,2.1,2.02,1.97,1.61,3.17,9.91,13.00,11.45,3.28,2.72,0,0,0,0,0,2,Vuoto Geometrico,6,Metallo,2,Medie,4,4,4.00,0.91,FALSE,0,0,4.48,0.4,0,2.34,2.5,2.3,2.3,2.38,1.95,0.46,0.23,0.30,0.27,0.55,0.23,1.32,1.23,1.16,1.23,1.4,3.17,3.26,3.13,0.86,1,0.86,0.96,0.85,,,,,45.4393021,12.3332154,Primi due gradini a nord e primo a sud in asfalto e Pietra d'Istria. 1 civico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Ponte de le Becarie,BECARI,4.22,299,,,,11:40,07-Mar-00,FALSE,FALSE,,,2,"364, 1588",Rio de le Becarie                                           ,BECA1     ,28,29,SP,San Polo            ,SP,San Polo            ,1,6,Sesto Ribassato,FALSE,FALSE,2,15,"Mattoni, Intonaco e Pietra d'Istria",2,Medie,,,,6,6,12,14,2,Pietra d'Istria,2,Medie,47,8,Asfalto,1,Cattive,3.24,1.52,18.27,8,Asfalto,1,Cattive,3.71,3.65,9.63,10.27,98.90,117.17,64.90,91.04,3.02,3.33,0,0,0,0,0,3,Vuoto Decorato,6,Metallo,2,Medie,3,3,3.00,0.93,FALSE,0,0,4.22,0.39,0,2.28,2.46,2.14,2.14,2.29,1.97,1.31,0.62,0.42,0.69,,0.42,2.26,1.55,1.34,1.62,,3.44,3.41,3.37,0.95,0.93,0.92,0.93,,,,,,45.4393852,12.333287,,"Rialto. It is located in the Palazzo Querini this field, known as the 'Ca' Mazor ', or' Ca 'Granda ""which, after the conspiracy Tiepolo-Querina, which occurred in L310, was demolished to two-thirds due to Marco and Pietro Querini conspirators, and left intact for another third owned by Giovanni Querini innocent. Some chronicles say, however, instead, that, then, the instruments rinvenendosi divisional, and a multitude being in that house some common parts, and therefore indivisible, the government did he leave standing as he was, but confiscated two-thirds of Marco and Pietro Querini, and bought the third of John. He is certain that here in 1339 were placed public Beccherie Rialto, located mostly in before S. John Elemosinario where afterwards was the ""drapery"". This way the name 'Stallion', which retains the building. Neither pretermettere willed it, however briefly, returned in the siege of Venice in 1849 to serve the public slaughterhouse being that of S. Job exposed to the hail of balls.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The commission of edible meat was never neglected by the Venetians, were encountered from ancient times until the establishment of an office of three noble, so called 'Above the Beccarie and public butchery, ""whose chapter records the deliberations on this matter issued from the beginning 1249. He kept it with variety of laws up to 1545, at which time an extraordinary heaviness imposed by the King of the Romans over the extraction of bovine animals produced a severe famine. Then the Senate decreed that they were elected two individuals of one's body with the title of ""Superintendents over the Beccarie,"" and in 1678 there added a third. See Tentori (""Essay on the History of Civil etc.. Republic of Venice""). The Butchers gathered in devout brotherhood, under the patronage of St. Matthew, in the church that stood in Rialto sacred to this saint, which, for a short Eugene IV, had the right to elect the rector. They masked in European, the Asian, Africana, and Americana, especially in segnalavansi hunts of the ""bulls Molai,"" Maybe usual on the last Sunday of Carnival in the courtyard of the Palazzo Ducale. And in that day enjoyed the privilege, for their loyalty to the Republic, to mount guard in number 20 of the same building from the time of the third ended until the public shows.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The ""Rio Beccarie� Rialto was said in the twelfth century 'Magadesso �Magadesia by the family, or of Arbore, and in the fourteenth century of"" Ca' Bellegno ""also from a family of this surname.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The ""Calle delle Beccarie"" coasting the ""Stallion"", even though it's called ""Panateria"" from the workshops of bread, which, up from ancient time, there were established as a resolution of the MC the year 1341 reads: ""quod ubi Panataria venditur latus panis in Rivoalto reducatur to walls Beccariae novae per modum quod melius videbitur."" The Sabellico (""De Situ Urbis ') calls these shops' paniceas tabernas quae adhaerent slaughter."" And they continued to exist in the same site until the fall of the Republic, Francesco Todeschini saying in Volume II of his manuscript work, extended in 1774 with the title: ""Of the Dignity of the Procurators of S. Marco ""(Code 613-614, Class VII of Marciana):"" Even the Rialto uses the art of Pistori, for sale of bread, some shops in the side of Beccaria, it is asserted that it was the palace of the Querini joint Bajamonte Tiepolo, and its related note in the conspiracy. "" By the same author, we have that these workshops in the past century were in number 25.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Ponte Privato (1608),BECA1_P1,4.51,328,,,,11:50,07-Mar-00,FALSE,TRUE,1608,,1,1608,Rio de le Becarie                                           ,BECA1     ,28,29,SP,San Polo            ,SP,San Polo            ,1,7,Sesto Super Ribassato,FALSE,FALSE,2,6,Metallo,3,Buone,,,,6,9,15,17,13,Vuoto,,,33,4,Legno,3,Buone,1.05,0.35,5.20,4,Legno,3,Buone,1.25,1.05,1.05,2.18,2.29,7.49,8.50,7.99,2.25,3.41,0,0,0,0,0,2,Vuoto Geometrico,4,Legno,3,Buone,10,10,10.00,0.86,FALSE,0,0,4.51,0.38,0,2.48,2.63,2.41,2.41,2.51,1.87,0.37,0.38,0.28,0.48,0.49,0.28,1.19,1.23,1.11,1.33,1.42,3.33,3.36,3.36,0.82,0.85,0.83,0.85,0.93,,,,,45.4396289,12.3335055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Ponte de la Pescaria,PESCAR,6.99,345,,,,12:00,07-Mar-00,FALSE,FALSE,,,0,,Rio de le Becarie                                           ,BECA1     ,28,29,SP,San Polo            ,SP,San Polo            ,1,6,Sesto Ribassato,FALSE,FALSE,2,15,"Mattoni, Intonaco e Pietra d'Istria",2,Medie,,,,12,10,22,13,2,Pietra d'Istria,2,Medie,40,3,Trachite,3,Buone,2.79,1.12,24.55,3,Trachite,2,Medie,3.35,2.79,2.79,2.89,8.06,32.62,46.70,39.66,6.85,4.75,0,0,0,0,0,1,Piena,15,"Mattoni, Intonaco e Pietra d'Istria",1,Cattive,28,28,28.00,0.85,FALSE,0.3,0.3,6.39,0.36,0,2.47,2.69,2.53,2.47,2.56,2.59,0.77,0.53,0.36,0.51,0.68,0.36,1.62,1.37,1.17,1.33,1.62,3.48,3.5,3.5,0.85,0.84,0.81,0.82,0.94,,,,,45.439924,12.3338019,,"�Rialto. This fish was established in 1332, and speaks of the Savina year 1398 with the words: ""It was compida the Foundation Pescaria Rialto stone and Fruttaria, the first in what gera de timber, comenziando to Camerlenghi of the City to the ferry of S. Sofia, zoe the boats that if he goes in Padua. "" Here, as shown by a decree of 1381, reported by Gallicciolli, were sold, as well as fish, birds, which custom continued even in the subsequent centuries. Returns the Sanudo on 23 October 1531, he decreed that ""the salizzare Pescaria defeat for the fire I do in ostaria of the Tower."" In 1884, the Fish was rebuilt with barocchissimo covered with iron. Fishermen were in their thousands to the fall of the Republic, but the so-called ""fish Compravendi� hundred and fifty eight only. This job is reserved exclusively to fishermen of St. Nicholas and Poveglia after they had fished for 20 years, and had reached the age of fifty years. In this way they wanted to give a reward to those worthy men who had labored in fishing, and most could not, as a youth, endure hardships, vigils, and dangers. The ""Compravendi fish,"" gathered in the church of B. V. Carmine under the protection of St. Nicholas, while the Fishermen possessed a special school of devotion, located outside of the church itself, and dedicated to St. Alberto, as well as others in other churches. In addition to the Rialto, in some other place, where you sell fish, we find the name of ""Pescaria.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Ponte de la Chiesa,CHIESA,5.73,327,,,,13:10,07-Mar-00,FALSE,FALSE,,,1,1854,Rio de S. Cassan                                            ,CASS1     ,27,28,SC,Santa Croce         ,SP,San Polo            ,1,4,Sesto Acuto,FALSE,FALSE,2,15,"Mattoni, Intonaco e Pietra d'Istria",2,Medie,3 soaze,2,Medie,9,11,20,12,2,Pietra d'Istria,1,Cattive,46,8,Asfalto,0,Pessime,1.72,0.79,15.82,8,Asfalto,0,Pessime,7,6.92,6.2,6.8,42.16,57.98,67.90,62.94,4.56,5.72,0,0,0,0,0,3,Vuoto Decorato,6,Metallo,2,Medie,4,4,4.00,0.90,FALSE,0,0,5.73,0.18,0,2.22,2.65,2.5,2.22,2.46,2.58,1.21,0.78,0.41,0.53,1.06,0.41,2.11,1.68,1.27,1.4,2.03,3.72,3.74,3.72,0.9,0.9,0.86,0.87,0.97,,,,,45.4398375,12.3318775,3 civico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Ponte Privato  (2347),CASS1_P1,6.34,344,,,,13:20,07-Mar-00,FALSE,TRUE,2347,,1,2347,Rio de S. Cassan                                            ,CASS1     ,27,28,SC,Santa Croce         ,SP,San Polo            ,1,2,Piano,FALSE,FALSE,1,23,"Metallo, Pietra d'Istria e Mattoni",0,Pessime,,,,0,5,0,17,2,Pietra d'Istria,2,Medie,33,2,Pietra d'Istria,2,Medie,,,,8,Asfalto,0,Pessime,2.04,1.96,1.84,7.6,13.98,13.98,18.20,16.09,0,2.12,0,0,0,0,0,2,Vuoto Geometrico,6,Metallo,1,Cattive,4,4,4.00,0.99,FALSE,0,0,6.34,0.15,0,2.1,2.13,2.12,2.1,2.12,3.02,0.22,0.23,0.23,0.24,0.24,0.22,1.21,1.22,1.22,1.23,1.23,3.17,3.2,3.2,0.99,0.99,0.99,0.99,0.99,,,,,45.4396742,12.3318339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Ponte Giovanni Andrea della Croce,GCROCE,7.16,317,,,,13:25,07-Mar-00,FALSE,FALSE,,,0,,Rio de S. Cassan                                            ,CASS1     ,27,28,SC,Santa Croce         ,SP,San Polo            ,1,7,Sesto Super Ribassato,FALSE,FALSE,2,9,Cemento Armato,2,Medie,bugne di diamante + scudi su chiavi con leoni.,3,Buone,9,9,18,11,2,Pietra d'Istria,2,Medie,50,8,Asfalto,1,Cattive,4.01,2.01,36.09,8,Asfalto,1,Cattive,4.59,4.01,4.01,3.05,12.23,48.32,55.00,51.66,5.18,5.01,0,0,0,0,0,1,Piena,9,Cemento Armato,2,Medie,29,29,29.00,0.94,FALSE,0,0,7.16,0.12,0,2.2,2.31,2.22,2.2,2.24,3.25,0.52,0.41,0.34,0.40,0.40,0.34,1.46,1.32,1.23,1.32,1.46,3.4,3.42,3.42,0.94,0.91,0.89,0.92,1.06,,,,,45.4396215,12.3316948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Ponte de le Tette,TETTE,4.52,287,,,,13:40,07-Mar-00,FALSE,FALSE,,,1,1916,Rio de S. Cassan                                            ,CASS1     ,27,28,SC,Santa Croce         ,SP,San Polo            ,1,6,Sesto Ribassato,FALSE,FALSE,6,15,"Mattoni, Intonaco e Pietra d'Istria",3,Buone,1 bugna a est e ovest,3,Buone,9,6,15,15,2,Pietra d'Istria,3,Buone,30,8,Asfalto,3,Buone,1.31,0.39,5.90,8,Asfalto,1,Cattive,2.58,2.00,2.11,2.11,4.45,10.35,35.90,23.12,2.1,2.56,0,0,0,0,0,1,Piena,15,"Mattoni, Intonaco e Pietra d'Istria",3,Buone,29,29,29.00,0.82,TRUE,0,0,4.52,0.07,0,2.24,2.49,2.27,2.24,2.33,2.02,0.82,0.63,0.44,0.64,0.74,0.44,1.63,1.45,1.26,1.45,1.57,3.62,3.68,3.65,0.81,0.82,0.82,0.81,0.83,,,,,45.4388404,12.3309392,6 rampe.,"�to S. Cassiano. We will call you to find the origin of these names is to be considered that the posts of harlots, allocated in ""Carampane,"" came up to the bridge and to this foundation, and that they were wont to stand on the balcony hill ""tete"" (poops discoveries to entice passers (Gallicciolli, ""Memoirs"", T. VI. Allegedly, this custom came from a government law, enacted in order to avert such an incentive with all men from sin against nature. sodomy What then had formerly clung in Venice, prove various ugly facts told by the press, including that of a ""s. Bernardino Correr,"" which, as told by the Sanudo (""War of Ferrara,"" Code 801, Class VII of the Marciana Library in 1482 ""turned Strive ser Hieronimo q. ser Urban zovene for sodomy a beautiful evening found him in Calle Ca 'Trevixan to St. Bortolomio them Taio strings of stockings; el which enable not turned, and went to Cai X and gave his lawsuit. ""Conosconsi some decrees of the Council of X promulgated in the same century, from which it emerges that, in order to weed out"" abhominabile vitium sodomiae ', had elected to two noble district, and that every Friday you had to collect the Board of Deputies to inquisition above the sodomites, that all doctors and barbers, called to treat a man, or some female, ""in partem posteriorem confractam for sodomiam,"" were obliged within three days of making the complaint to the authorities, who finally sodomites s'appiccavano between two columns of the 'Piazzetta', enabled once s'abbruciavano since they were reduced to ashes, the penalty imposed Yea October 10,1482, to the good wool Bernardino, summentovato from us.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Ponte del Ravano,RAVANO,4.83,312,,,,14:15,07-Mar-00,FALSE,FALSE,,,0,,Rio de S.Maria Mater Domini                                 ,DOMI      ,26,27,SC,Santa Croce         ,SC,Santa Croce         ,1,4,Sesto Acuto,FALSE,FALSE,2,15,"Mattoni, Intonaco e Pietra d'Istria",3,Buone,,,,12,12,24,11.5,2,Pietra d'Istria,2,Medie,40.5,8,Asfalto,0,Pessime,1.4,0.57,13.61,8,Asfalto,0,Pessime,2.8,2.32,2.3,2.45,5.64,19.24,24.30,21.77,5.39,5.28,0,0,0,0,0,1,Piena,14,Mattoni e Pietra d'Istria,3,Buone,24,24,24.00,0.94,TRUE,0,0,4.83,-0.07,0,2.56,2.89,2.52,2.52,2.66,1.92,0.93,0.56,0.26,0.57,1.17,0.26,1.89,1.53,1.19,1.55,2.04,4.16,4.15,4.14,0.96,0.97,0.93,0.98,0.87,,,,,45.4404501,12.3313099,,"�to Sant'Eustacchio. Errs in stating that the Gallicciolli had no existence in Venice Ravano any family. We had instead thereof more than one family of this name, including one well-known that cultivated the art of printing in the sixteenth century, and that we believe in fact have given the name all'indicate locations. We find Peter Ravano, Brescia, printer in 1516, a Vettor Ravano q. Peter Printer, under the banner of the Siren, in 1531, as well as the heirs of Peter Ravano in 1546. A ""Rughetta of Ravano"" there is also in Rialto, at St. Sylvester. A 'Gasparo Ravano sartor ""in Rialto, presented the notification of its assets in 1537.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Ponte S. Maria Materdomini,MATERD,5.9,329,,,,14:00,07-Mar-00,FALSE,FALSE,,,0,,Rio de S.Maria Mater Domini                                 ,DOMI      ,26,27,SC,Santa Croce         ,SC,Santa Croce         ,1,6,Sesto Ribassato,FALSE,FALSE,2,15,"Mattoni, Intonaco e Pietra d'Istria",3,Buone,,,,6,8,14,15,2,Pietra d'Istria,4,Ottime,50,3,Trachite,4,Ottime,1.88,0.94,13.16,3,Trachite,4,Ottime,2.4,2.34,1.88,2.22,4.17,17.33,20.60,18.97,3.58,4.8,0,0,0,0,0,3,Vuoto Decorato,6,Metallo,3,Buone,3,3,3.00,0.93,TRUE,0,0,5.9,-0.01,0,2.41,2.58,2.39,2.39,2.46,2.47,0.69,0.55,0.38,0.53,0.65,0.38,1.64,1.45,1.28,1.44,1.62,3.87,3.87,3.84,0.95,0.9,0.9,0.91,0.97,,,,,45.4396056,12.3306777,,". And 'tradition that the church of S. Maria Mater Domini arise in the work of 960 for families and Zane Hat, and it was originally sacred to St. Cristina, being at that time officiated by nuns. Atterrossi in 1503, and rebuilt it, ""putting"" says Sanudo, ""the altar misrepresenations the meeting where it was."" Reduced to term, consecrossi July 25, 1540 by Lucio bishop of Sibenik. The Temanza wants concocted by Peter Lombard, not without the work of Sansovino. Was a parish until 1810, and is now a branch of S. Cassiano. Its bell tower, erected by ancient Hat, rinnovossi in 1743. Writes the Chronicle Great: ""Of the 1,150 randomly went out fire from the Contra de santa M. Mater Domini, et bruz� the suit, then went to S. You, S. Stin, Saint Agustin, S. Boldo, S. Jacomo de Luprio, St. Zan degolado, holy Croxe, S. Simeon Prophet, S. Apostle Simeon, S. Baxegio, St. Nicholas de Mendigoli, et san Raffael, et bruxo in Venetia very caxe. """,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Ponte de L'Agnella,AGNELA,6.74,361,,,,13:50,07-Mar-00,FALSE,FALSE,,,0,,Rio de S.Maria Mater Domini                                 ,DOMI      ,26,27,SC,Santa Croce         ,SC,Santa Croce         ,1,1,A tutto Sesto,FALSE,FALSE,2,15,"Mattoni, Intonaco e Pietra d'Istria",1,Cattive,,,,10,11,21,13,2,Pietra d'Istria,2,Medie,36,8,Asfalto,0,Pessime,1.5,0.54,11.34,8,Asfalto,0,Pessime,2.31,2.24,1.81,2.24,4.05,15.39,25.00,20.20,4.24,4.92,0,0,0,0,0,3,Vuoto Decorato,6,Metallo,3,Buone,3.5,3.5,3.50,0.90,FALSE,0,0,6.74,0.04,0,2.79,2.93,2.82,2.79,2.85,2.42,0.68,0.56,0.41,0.51,0.48,0.41,1.55,1.45,1.28,1.39,1.47,4.2,4.17,4.17,0.87,0.89,0.87,0.88,0.99,,,,,45.4391378,12.3303216,,"to S. M. Mater Domini. Here lived the family From Agnella, which perhaps was called colloquially also Lamb, since, in accordance with Gallicciolli (""Memoirs Venetian""), belonged to it that ""Marinus Agnellus"" which was the pastor of St. Martin in 1152. A ""Lunardo Dall'Agnella by s. Maria Mater Domini "", during the War of Chioggia, offered his person familiar with all its cargo, and the pay of 150 men from oar for a month. In reward of such offer in 1381 he was ballottato pel M. C., but remained among the excluded, of which, as is known, accoratosi, died a few days after leaving no descendants. Of Dall'Agnella thus saith the Code 29 Class VII of Marciana: ""These were the Trevisana in Rivalta; were good conditione and Catholics, was a ser et Lunardo dall'Agnella merchant from Biave of contr� of Santa Maria Mater Domini, who offered to Lordship of Ven.a in time of war Chioza of 1381, and there he remained. He missed him med.o q.la family in 1393, and from this comes the name of the Lamb Bridge in Santa Maria Materdomini. "" The Count Florio Miari in his ""Historical Dictionary of Literary Artistic Belluno,"" Leonardo dall'Agnella ago that this belonged to the family of Belluno.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The ""Foundation of the Lamb"" was said at one time also ""Foundation Ca 'Bonvicini"" from the palace place on the opposite, which belonged to a noble family.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Ponte de Ca' Pesaro,FORNER,5.32,334,,,,14:30,07-Mar-00,FALSE,FALSE,,,0,,Rio de la Pergola o de Ca' Pesaro                           ,PERG      ,25,26,SC,Santa Croce         ,SC,Santa Croce         ,1,1,A tutto Sesto,FALSE,FALSE,2,15,"Mattoni, Intonaco e Pietra d'Istria",4,Ottime,3 scudi,3,Buone,4,6,10,15,2,Pietra d'Istria,4,Ottime,37,3,Trachite,4,Ottime,1.05,0.39,3.89,3,Trachite,4,Ottime,2.45,1.81,1.83,1.47,2.69,6.58,14.20,10.39,3.24,2.73,0,0,0,0,0,1,Piena,1,Mattoni,4,Ottime,32,32,32.00,0.88,FALSE,0.2,0.2,4.92,-0.12,0,1.71,2.07,1.93,1.71,1.90,2.88,,0.55,0.39,0.34,,0.34,,1.47,1.21,1.25,,3.3,3.4,3.3,,0.92,0.82,0.91,,,,,,45.4409384,12.3312305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
